"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S005164    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0087 0087","Dimecres","2023",8,"Agost","30","14","Tarda","No és causa del  vianant","Veh. mobilitat personal amb motor","Desconegut","XIAOMI","Negre","Desconegut","Desconegut","430005.45 ","4583130.22","2.161599464","41.394815009"
"2023S000548    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0087 0087","Dissabte","2023",1,"Gener","28","12","Matí","Transitar a peu per la calçada","Autobús","NL 273 F/CITTOUR","MAN","Vermell","D","27","430001.61 ","4583089.87","2.161558201","41.394451255"
"2023S000554    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0087 0087","Dissabte","2023",1,"Gener","28","19","Tarda","No és causa del  vianant","Motocicleta","YP250R","YAMAHA","Gris","A","15","430005.45 ","4583130.22","2.161599464","41.394815009"
"2023S000554    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0087 0087","Dissabte","2023",1,"Gener","28","19","Tarda","No és causa del  vianant","Turisme","LEON 2.0","SEAT","Gris","B","23","430005.45 ","4583130.22","2.161599464","41.394815009"
"2023S005243    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0089 0089","Dilluns","2023",9,"Setembre","4","12","Matí","No és causa del  vianant","Autobús","NL 273 F/CITTOUR","MAN","Vermell","D","16","429958.79 ","4583136.89","2.161040601","41.394871018"
"2023S007101    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0089 0089","Dimecres","2023",11,"Novembre","29","16","Tarda","No és causa del  vianant","Autobús","NL 273 F/CITTOUR","MAN","Vermell","D","25","429958.79 ","4583136.89","2.161040601","41.394871018"
"2023S006178    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0090 0090","Dijous","2023",10,"Octubre","19","14","Tarda","No és causa del  vianant","Bicicleta"," ","ES DESCONEIX","Altres","B","23","430005.45 ","4583130.22","2.161599464","41.394815009"
"2023S006178    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0090 0090","Dijous","2023",10,"Octubre","19","14","Tarda","No és causa del  vianant","Bicicleta","Desconegut","ES DESCONEIX","Desconegut","Desconegut","Desconegut","430005.45 ","4583130.22","2.161599464","41.394815009"
"2023S005398    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0090 0090","Dimarts","2023",9,"Setembre","12","18","Tarda","No és causa del  vianant","Camió rígid <= 3,5 tones","70C18","FOIMA","Blanc","B","29","430005.45 ","4583130.22","2.161599464","41.394815009"
"2023S005398    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0090 0090","Dimarts","2023",9,"Setembre","12","18","Tarda","No és causa del  vianant","Motocicleta","PES125","HONDA","Desconegut","B","13","430005.45 ","4583130.22","2.161599464","41.394815009"
"2023S000662    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0090 0090","Divendres","2023",2,"Febrer","3","04","Nit","No és causa del  vianant","Camió rígid > 3,5 tones","50C14N","CARROCERIAS SEVILLA","Desconegut","B","5","430005.45 ","4583130.22","2.161599464","41.394815009"
"2023S003979    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0101 0101","Dissabte","2023",7,"Juliol","1","20","Tarda","No és causa del  vianant","Motocicleta","AGILITY CITY 125","KYMCO","Blau","Desconegut","Desconegut","429866.3  ","4583197.57","2.159927315","41.395409477"
"2023S003979    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0101 0101","Dissabte","2023",7,"Juliol","1","20","Tarda","No és causa del  vianant","Motocicleta","SH 150","HONDA","Gris","Desconegut","Desconegut","429866.3  ","4583197.57","2.159927315","41.395409477"
"2023S003979    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0101 0101","Dissabte","2023",7,"Juliol","1","20","Tarda","No és causa del  vianant","Motocicleta","YP400","YAMAHA","Gris","Desconegut","Desconegut","429866.3  ","4583197.57","2.159927315","41.395409477"
"2023S003979    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0101 0101","Dissabte","2023",7,"Juliol","1","20","Tarda","No és causa del  vianant","Turisme","NISSAN QASHQAI","NISSAN","Blanc","B","13","429866.3  ","4583197.57","2.159927315","41.395409477"
"2023S003979    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0101 0101","Dissabte","2023",7,"Juliol","1","20","Tarda","No és causa del  vianant","Turisme","RAPID","SKODA","Negre/Groc","B","28","429866.3  ","4583197.57","2.159927315","41.395409477"
"2023S001737    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0101 0101","Diumenge","2023",3,"Març","26","11","Matí","No és causa del  vianant","Turisme","CRUZE","CHEVROLET","Gris","B","5","429914.38 ","4583230.13","2.160498625","41.395706928"
